Filename,SegmentIndex,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
210101070_E_0_1.txt,14,-0.0539054,0.312199,0.16731,0.382591,0.428428,0.680436,0.519283,0.304639,-0.191746,0.179994,0.100506,0.121387
210101070_E_0_1.txt,15,-0.0636017,0.277526,0.111657,-0.224874,0.311742,-0.26907,0.0122671,0.415725,-0.239351,0.423307,-0.180921,0.0662143
210101070_E_0_1.txt,16,0.377571,-0.376703,0.113253,0.143351,0.396592,0.112716,0.0734443,0.715997,0.818324,0.0290091,0.230851,-0.0370476
210101070_E_0_1.txt,17,0.480155,0.442,-0.0482924,0.661946,0.644375,0.455272,0.65939,0.305961,0.365319,-0.0766066,0.446202,-0.0223571
210101070_E_0_1.txt,18,2.72173,2.87321,3.83262,3.52268,1.5487,-0.181179,1.26117,1.09892,-0.401422,-0.346072,0.128345,-0.0262744
210101070_E_0_1.txt,19,6.02507,0.0681731,4.04002,8.38249,2.62041,-2.08752,1.20416,2.95465,0.576,-0.670469,0.0378448,0.168551
210101070_E_0_1.txt,20,4.61891,-0.366715,3.72189,7.38414,1.1533,-1.96652,1.81706,2.93496,-0.156164,-0.610765,0.278989,0.15832
210101070_E_0_1.txt,21,5.14626,-2.59756,4.96119,4.02395,-1.59502,-1.00518,1.5835,2.80961,0.860542,-0.273499,0.281607,0.121171
210101070_E_0_1.txt,22,3.02114,-1.34687,3.27447,5.45345,0.0616458,-0.336911,1.10198,1.2102,0.408754,-0.00688325,-0.0232585,0.0268047
210101070_E_0_1.txt,23,3.51666,-2.67311,4.75711,2.77885,1.59444,-1.26275,1.14762,1.8384,0.345733,0.303187,-0.0299477,0.0648203
210101070_E_0_1.txt,24,2.66706,-2.77118,3.88306,1.56063,2.73974,-1.32333,1.08747,2.26947,1.50887,0.0823364,-0.476607,0.206461
210101070_E_0_1.txt,25,2.56674,-2.96709,3.53886,2.26083,1.00628,-2.14585,2.10864,2.46813,2.14392,0.0765559,-0.33624,0.187861
210101070_E_0_1.txt,26,2.72156,-2.0717,3.59706,0.797149,1.57619,-1.2371,1.00585,2.53887,1.89448,0.0762891,-0.40312,0.0595789
210101070_E_0_1.txt,27,3.38165,-1.53666,2.38752,0.438741,1.27217,-0.116368,1.62726,1.77761,1.40668,-0.35315,-0.366118,0.0343164
210101070_E_0_1.txt,28,4.78652,-1.47954,1.03323,-0.332216,1.48249,0.916134,2.77907,1.10495,0.368222,-0.507649,-0.459065,0.0792192
210101070_E_0_1.txt,29,8.14628,-3.90958,-0.945959,1.65732,1.56424,0.446674,2.22651,2.3266,0.216644,-0.651575,-0.305696,-0.00753155
210101070_E_0_1.txt,30,7.60838,-2.97467,-2.20797,3.61939,1.56586,0.116001,2.20861,2.39269,0.239483,-0.830375,-0.255793,0.0506185
210101070_E_0_1.txt,31,9.20976,-3.66224,-2.81911,3.73494,1.31582,-0.0940445,2.20671,2.92693,0.259081,-0.899476,-0.193015,0.0970903
210101070_E_0_1.txt,32,6.90821,-1.94842,-1.57309,2.594,1.98196,1.0133,2.25223,1.87125,0.252141,-0.907376,-0.470104,0.0361184
210101070_E_0_1.txt,33,7.81526,-2.81593,-0.488341,1.58904,2.03079,1.56181,1.75886,1.73264,0.186646,-0.977231,-0.469578,0.0762118
210101070_E_0_1.txt,34,6.84807,-1.66003,-2.56581,2.69297,1.82718,0.350928,2.60449,1.83738,0.3385,-1.04987,-0.36288,0.0406673
210101070_E_0_1.txt,35,7.52613,-0.968716,-3.18161,1.90916,2.10601,0.395742,1.59258,1.59146,1.18149,-0.32952,-0.364547,-0.0561058
210101070_E_0_1.txt,36,6.03416,-0.689059,-0.166699,1.66056,2.02484,1.94215,0.645778,1.85213,0.420348,-0.867576,-0.362031,0.0972132
210101070_E_0_1.txt,37,8.10818,-0.488251,-1.27895,2.20173,1.35516,-0.367721,-0.259693,0.236951,0.568644,0.260523,-0.00526579,-0.046611
210101070_E_0_1.txt,38,11.2545,-1.53505,-1.9952,3.49203,1.52136,-1.3229,-0.849801,0.248096,-0.382402,-0.540216,-0.0206978,0.050377
210101070_E_0_1.txt,39,8.00295,0.769674,-0.70395,3.50529,1.34883,-1.574,-0.492523,-1.58593,-0.540407,-0.330638,0.136179,-0.032339
210101070_E_0_1.txt,40,6.21835,2.34205,0.162402,1.64471,2.0852,-0.146591,-2.2181,-1.79823,-0.213199,-0.520242,-0.0777413,0.0096331
210101070_E_0_1.txt,41,6.79088,2.31656,0.172107,2.34971,2.67325,-0.074226,-2.31469,-1.97663,-0.13466,-0.175037,-0.196334,-0.0958975
210101070_E_0_1.txt,42,7.48429,2.27342,0.594865,3.18185,2.22513,-0.917986,-2.06161,-1.63726,-0.380747,-0.335009,-0.274667,-0.080832
210101070_E_0_1.txt,43,7.78279,1.02807,0.513267,3.49693,1.80892,-0.0899607,0.289828,-0.997308,-0.212726,-0.122258,-0.157915,-0.127132
210101070_E_0_1.txt,44,7.63786,1.66325,-0.34377,2.34425,2.06421,-0.763285,-0.830526,-1.39607,-0.29139,-0.788949,-0.354437,0.027078
210101070_E_0_1.txt,45,6.68633,2.30327,-0.0449884,2.20422,2.97243,0.0440899,-2.40605,-1.67252,-0.10781,-0.583645,-0.474668,-0.128986
